Id1_G-id2_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-62
Id1_G-id3_g: Identity:32/80(40.0%), Gaps:0/80(0.0%), Score=-42
Id1_G-id4_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-58
Id1_G-id5_g: Identity:24/80(30.0%), Gaps:0/80(0.0%), Score=-71
Id1_G-id6_g: Identity:23/80(28.75%), Gaps:0/80(0.0%), Score=-75
Id1_G-id7_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-59
Id1_G-id8_g: Identity:30/80(37.5%), Gaps:0/80(0.0%), Score=-58
Id1_G-id9_g: Identity:30/80(37.5%), Gaps:0/80(0.0%), Score=-46
Id1_G-id10_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-66
Id1_G-id11_g: Identity:31/80(38.75%), Gaps:0/80(0.0%), Score=-48
Id1_G-id12_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-59
Id1_G-id13_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-66
Id1_G-id14_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-62
Id1_G-id15_g: Identity:25/80(31.25%), Gaps:0/80(0.0%), Score=-68
Id1_G-id16_g: Identity:24/80(30.0%), Gaps:0/80(0.0%), Score=-73
Id1_G-id17_g: Identity:23/80(28.75%), Gaps:0/80(0.0%), Score=-69
Id1_G-id18_g: Identity:20/80(25.0%), Gaps:0/80(0.0%), Score=-85
Id2_G-id3_g: Identity:22/80(27.5%), Gaps:0/80(0.0%), Score=-74
Id2_G-id4_g: Identity:21/80(26.25%), Gaps:0/80(0.0%), Score=-78
Id2_G-id5_g: Identity:25/80(31.25%), Gaps:0/80(0.0%), Score=-71
Id2_G-id6_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-69
Id2_G-id7_g: Identity:22/80(27.5%), Gaps:0/80(0.0%), Score=-83
Id2_G-id8_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-62
Id2_G-id9_g: Identity:20/80(25.0%), Gaps:0/80(0.0%), Score=-78
Id2_G-id10_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-70
Id2_G-id11_g: Identity:23/80(28.75%), Gaps:0/80(0.0%), Score=-76
Id2_G-id12_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-65
Id2_G-id13_g: Identity:20/80(25.0%), Gaps:0/80(0.0%), Score=-82
Id2_G-id14_g: Identity:25/80(31.25%), Gaps:0/80(0.0%), Score=-72
Id2_G-id15_g: Identity:29/80(36.25%), Gaps:0/80(0.0%), Score=-56
Id2_G-id16_g: Identity:24/80(30.0%), Gaps:0/80(0.0%), Score=-71
Id2_G-id17_g: Identity:32/80(40.0%), Gaps:0/80(0.0%), Score=-47
Id2_G-id18_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-69
Id3_G-id4_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-60
Id3_G-id5_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-65
Id3_G-id6_g: Identity:24/80(30.0%), Gaps:0/80(0.0%), Score=-65
Id3_G-id7_g: Identity:24/80(30.0%), Gaps:0/80(0.0%), Score=-73
Id3_G-id8_g: Identity:25/80(31.25%), Gaps:0/80(0.0%), Score=-68
Id3_G-id9_g: Identity:36/80(45.0%), Gaps:0/80(0.0%), Score=-38
Id3_G-id10_g: Identity:21/80(26.25%), Gaps:0/80(0.0%), Score=-84
Id3_G-id11_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-60
Id3_G-id12_g: Identity:32/80(40.0%), Gaps:0/80(0.0%), Score=-53
Id3_G-id13_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-57
Id3_G-id14_g: Identity:30/80(37.5%), Gaps:0/80(0.0%), Score=-52
Id3_G-id15_g: Identity:32/80(40.0%), Gaps:0/80(0.0%), Score=-50
Id3_G-id16_g: Identity:20/80(25.0%), Gaps:0/80(0.0%), Score=-81
Id3_G-id17_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-65
Id3_G-id18_g: Identity:29/80(36.25%), Gaps:0/80(0.0%), Score=-57
Id4_G-id5_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-57
Id4_G-id6_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-53
Id4_G-id7_g: Identity:31/80(38.75%), Gaps:0/80(0.0%), Score=-47
Id4_G-id8_g: Identity:23/80(28.75%), Gaps:0/80(0.0%), Score=-68
Id4_G-id9_g: Identity:29/80(36.25%), Gaps:0/80(0.0%), Score=-56
Id4_G-id10_g: Identity:31/80(38.75%), Gaps:0/80(0.0%), Score=-46
Id4_G-id11_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-64
Id4_G-id12_g: Identity:30/80(37.5%), Gaps:0/80(0.0%), Score=-55
Id4_G-id13_g: Identity:29/80(36.25%), Gaps:0/80(0.0%), Score=-53
Id4_G-id14_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-56
Id4_G-id15_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-58
Id4_G-id16_g: Identity:31/80(38.75%), Gaps:0/80(0.0%), Score=-51
Id4_G-id17_g: Identity:32/80(40.0%), Gaps:0/80(0.0%), Score=-45
Id4_G-id18_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-59
Id5_G-id6_g: Identity:29/80(36.25%), Gaps:0/80(0.0%), Score=-62
Id5_G-id7_g: Identity:20/80(25.0%), Gaps:0/80(0.0%), Score=-76
Id5_G-id8_g: Identity:25/80(31.25%), Gaps:0/80(0.0%), Score=-65
Id5_G-id9_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-63
Id5_G-id10_g: Identity:23/80(28.75%), Gaps:0/80(0.0%), Score=-79
Id5_G-id11_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-59
Id5_G-id12_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-68
Id5_G-id13_g: Identity:24/80(30.0%), Gaps:0/80(0.0%), Score=-64
Id5_G-id14_g: Identity:23/80(28.75%), Gaps:0/80(0.0%), Score=-67
Id5_G-id15_g: Identity:32/80(40.0%), Gaps:0/80(0.0%), Score=-55
Id5_G-id16_g: Identity:19/80(23.75%), Gaps:0/80(0.0%), Score=-84
Id5_G-id17_g: Identity:19/80(23.75%), Gaps:0/80(0.0%), Score=-84
Id5_G-id18_g: Identity:36/80(45.0%), Gaps:0/80(0.0%), Score=-38
Id6_G-id7_g: Identity:30/80(37.5%), Gaps:0/80(0.0%), Score=-48
Id6_G-id8_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-61
Id6_G-id9_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-61
Id6_G-id10_g: Identity:32/80(40.0%), Gaps:0/80(0.0%), Score=-49
Id6_G-id11_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-59
Id6_G-id12_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-56
Id6_G-id13_g: Identity:31/80(38.75%), Gaps:0/80(0.0%), Score=-50
Id6_G-id14_g: Identity:23/80(28.75%), Gaps:0/80(0.0%), Score=-69
Id6_G-id15_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-57
Id6_G-id16_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-60
Id6_G-id17_g: Identity:29/80(36.25%), Gaps:0/80(0.0%), Score=-52
Id6_G-id18_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-62
Id7_G-id8_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-63
Id7_G-id9_g: Identity:25/80(31.25%), Gaps:0/80(0.0%), Score=-67
Id7_G-id10_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-55
Id7_G-id11_g: Identity:17/80(21.25%), Gaps:0/80(0.0%), Score=-83
Id7_G-id12_g: Identity:31/80(38.75%), Gaps:0/80(0.0%), Score=-50
Id7_G-id13_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-52
Id7_G-id14_g: Identity:25/80(31.25%), Gaps:0/80(0.0%), Score=-65
Id7_G-id15_g: Identity:25/80(31.25%), Gaps:0/80(0.0%), Score=-63
Id7_G-id16_g: Identity:25/80(31.25%), Gaps:0/80(0.0%), Score=-68
Id7_G-id17_g: Identity:33/80(41.25%), Gaps:0/80(0.0%), Score=-44
Id7_G-id18_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-62
Id8_G-id9_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-64
Id8_G-id10_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-64
Id8_G-id11_g: Identity:36/80(45.0%), Gaps:0/80(0.0%), Score=-36
Id8_G-id12_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-55
Id8_G-id13_g: Identity:22/80(27.5%), Gaps:0/80(0.0%), Score=-71
Id8_G-id14_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-58
Id8_G-id15_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-62
Id8_G-id16_g: Identity:21/80(26.25%), Gaps:0/80(0.0%), Score=-83
Id8_G-id17_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-51
Id8_G-id18_g: Identity:25/80(31.25%), Gaps:0/80(0.0%), Score=-67
Id9_G-id10_g: Identity:29/80(36.25%), Gaps:0/80(0.0%), Score=-56
Id9_G-id11_g: Identity:32/80(40.0%), Gaps:0/80(0.0%), Score=-46
Id9_G-id12_g: Identity:42/80(52.5%), Gaps:0/80(0.0%), Score=-21
Id9_G-id13_g: Identity:22/80(27.5%), Gaps:0/80(0.0%), Score=-71
Id9_G-id14_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-56
Id9_G-id15_g: Identity:31/80(38.75%), Gaps:0/80(0.0%), Score=-46
Id9_G-id16_g: Identity:24/80(30.0%), Gaps:0/80(0.0%), Score=-71
Id9_G-id17_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-57
Id9_G-id18_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-61
Id10_G-id11_g: Identity:25/80(31.25%), Gaps:0/80(0.0%), Score=-72
Id10_G-id12_g: Identity:34/80(42.5%), Gaps:0/80(0.0%), Score=-43
Id10_G-id13_g: Identity:23/80(28.75%), Gaps:0/80(0.0%), Score=-70
Id10_G-id14_g: Identity:19/80(23.75%), Gaps:0/80(0.0%), Score=-82
Id10_G-id15_g: Identity:31/80(38.75%), Gaps:0/80(0.0%), Score=-48
Id10_G-id16_g: Identity:22/80(27.5%), Gaps:0/80(0.0%), Score=-75
Id10_G-id17_g: Identity:30/80(37.5%), Gaps:0/80(0.0%), Score=-47
Id10_G-id18_g: Identity:25/80(31.25%), Gaps:0/80(0.0%), Score=-73
Id11_G-id12_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-59
Id11_G-id13_g: Identity:23/80(28.75%), Gaps:0/80(0.0%), Score=-71
Id11_G-id14_g: Identity:35/80(43.75%), Gaps:0/80(0.0%), Score=-38
Id11_G-id15_g: Identity:33/80(41.25%), Gaps:0/80(0.0%), Score=-46
Id11_G-id16_g: Identity:22/80(27.5%), Gaps:0/80(0.0%), Score=-83
Id11_G-id17_g: Identity:22/80(27.5%), Gaps:0/80(0.0%), Score=-73
Id11_G-id18_g: Identity:28/80(35.0%), Gaps:0/80(0.0%), Score=-59
Id12_G-id13_g: Identity:21/80(26.25%), Gaps:0/80(0.0%), Score=-74
Id12_G-id14_g: Identity:35/80(43.75%), Gaps:0/80(0.0%), Score=-45
Id12_G-id15_g: Identity:23/80(28.75%), Gaps:0/80(0.0%), Score=-75
Id12_G-id16_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-68
Id12_G-id17_g: Identity:34/80(42.5%), Gaps:0/80(0.0%), Score=-40
Id12_G-id18_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-64
Id13_G-id14_g: Identity:16/80(20.0%), Gaps:0/80(0.0%), Score=-85
Id13_G-id15_g: Identity:21/80(26.25%), Gaps:0/80(0.0%), Score=-70
Id13_G-id16_g: Identity:23/80(28.75%), Gaps:0/80(0.0%), Score=-75
Id13_G-id17_g: Identity:29/80(36.25%), Gaps:0/80(0.0%), Score=-57
Id13_G-id18_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-62
Id14_G-id15_g: Identity:27/80(33.75%), Gaps:0/80(0.0%), Score=-60
Id14_G-id16_g: Identity:30/80(37.5%), Gaps:0/80(0.0%), Score=-55
Id14_G-id17_g: Identity:25/80(31.25%), Gaps:0/80(0.0%), Score=-57
Id14_G-id18_g: Identity:24/80(30.0%), Gaps:0/80(0.0%), Score=-67
Id15_G-id16_g: Identity:29/80(36.25%), Gaps:0/80(0.0%), Score=-57
Id15_G-id17_g: Identity:34/80(42.5%), Gaps:0/80(0.0%), Score=-41
Id15_G-id18_g: Identity:30/80(37.5%), Gaps:0/80(0.0%), Score=-57
Id16_G-id17_g: Identity:29/80(36.25%), Gaps:0/80(0.0%), Score=-58
Id16_G-id18_g: Identity:26/80(32.5%), Gaps:0/80(0.0%), Score=-70
Id17_G-id18_g: Identity:23/80(28.75%), Gaps:0/80(0.0%), Score=-70
